公司名称,省份,城市,营业收入,利润,员工人数,上市日期,行业分类,产品类型
洽洽食品股份有限公司,安徽,合肥市,13.79亿,1.98亿,4603,2011-03-02,休闲食品,休闲食品
巨人网络集团股份有限公司,重庆,重庆市,5.67亿,3.20亿,1681,2011-03-02,游戏,电脑端网络游戏、移动端网络游戏、互联网社区工具、互联网金融服务、其他游戏相关
江苏亚威机床股份有限公司,江苏,扬州市,3.95亿,2951.46万,1693,2011-03-03,机床设备,金属成形机床、激光加工装备、智能制造解决方案
河南通达电缆股份有限公司,河南,洛阳市,4.09亿,1885.13万,630,2011-03-03,电线电缆,钢芯铝绞线系列、铝合金绞线系列、铝包钢绞线系列、电气化铁路、城市轨道交通及地铁用接触线、配网及建筑用架空绝缘电缆系列
上海徐家汇商城股份有限公司,上海,上海市,1.69亿,4001.13万,876,2011-03-03,百货,商业
兄弟科技股份有限公司,浙江,嘉兴市,6.89亿,1112.48万,2647,2011-03-10,其他化学制品,医药化工
浙江森马服饰股份有限公司,浙江,温州市,33.10亿,3.51亿,3677,2011-03-11,休闲服装,休闲服饰、儿童服饰
苏州天沃科技股份有限公司,江苏,苏州市,20.19亿,873.61万,2897,2011-03-10,矿山冶金机械,能源工程服务业务、高端装备制造业务、国防建设业务
上海顺灏新材料科技股份有限公司,上海,上海市,4.49亿,292.73万,1768,2011-03-18,包装印刷,镀铝纸、复膜纸、白卡纸、丙纤丝束、印刷品、光学防伪膜、新烟烟草
吉林省集安益盛药业股份有限公司,吉林,通化市,2.29亿,3318.67万,1744,2011-03-18,中药生产,胶囊类、针剂类、化妆品、人参类、蜂制品
唐人神集团股份有限公司,湖南,株洲市,50.25亿,2.99亿,9798,2011-03-25,饲料,饲料、肉制品、动物保健品、牲猪
上海百润投资控股集团股份有限公司,上海,上海市,5.17亿,1.31亿,1622,2011-03-25,调味品,食用香精、预调鸡尾酒
浙江步森服饰股份有限公司,浙江,绍兴市,5420.18万,-1746.34万,933,2011-04-12,男装,服装制造
